age      sex   		alc    street  bcrash  gcrash
       2       1       0       2    2245    8271
       2       1       0       3    1458    7241
       2       1       0       1    1513    5251
       2       1       1       2     892    1610
       2       1       1       3     520    1129
       2       1       1       1     628    1043
       2       0       0       2     939    3262
       2       0       0       3     624    2620
       2       0       0       1     631    2091
       2       0       1       2      78     143
       2       0       1       3      51     100
       2       0       1       1      65      99
       1       1       0       2    3290    7254
       1       1       0       3    1655    5121
       1       1       0       1    2416    5097
       1       1       1       2     793    1071
       1       1       1       3     434     670
       1       1       1       1     791    1011
       1       0       0       2    1005    2543
       1       0       0       3     523    1906
       1       0       0       1     644    1550
       1       0       1       2      51      78
       1       0       1       3      32      49
       1       0       1       1      47      61
       3       1       0       2     243    1511
       3       1       0       3     168    1362
       3       1       0       1     120     713
       3       1       1       2      24      49
       3       1       1       3      11      45
       3       1       1       1      12      37
       3       0       0       2      44     268
       3       0       0       3      20     226
       3       0       0       1      21     110
       3       0       1       2       2       2
       3       0       1       3       1       2
       3       0       1       1       1       1
       2       1       0       2    2245    8271
       2       1       0       3    1458    7241
       2       1       0       1    1513    5251
       2       1       1       2     892    1610
       2       1       1       3     520    1129
       2       1       1       1     628    1043
       2       0       0       2     939    3262
       2       0       0       3     624    2620
       2       0       0       1     631    2091
       2       0       1       2      78     143
       2       0       1       3      51     100
       2       0       1       1      65      99
       1       1       0       2    3290    7254
       1       1       0       3    1655    5121
       1       1       0       1    2416    5097
       1       1       1       2     793    1071
       1       1       1       3     434     670
       1       1       1       1     791    1011
       1       0       0       2    1005    2543
       1       0       0       3     523    1906
       1       0       0       1     644    1550
       1       0       1       2      51      78
       1       0       1       3      32      49
       1       0       1       1      47      61
       3       1       0       2     243    1511
       3       1       0       3     168    1362
       3       1       0       1     120     713
       3       1       1       2      24      49
       3       1       1       3      11      45
       3       1       1       1      12      37
       3       0       0       2      44     268
       3       0       0       3      20     226
       3       0       0       1      21     110
       3       0       1       2       2       2
       3       0       1       3       1       2
       3       0       1       1       1       1
